Connecting to 24:71:89:C1:0D:07
time ,acc-x,acc-y,acc-z ,mag-x,mag-y,mag-z ,gyr-x,gyr-y,gyr-z 
2018/05/08 00:13:55.383676 , -0.575927734375 , -0.46826171875 , 0.701904296875 , 54.8776556777 , 16.3433455433 , -51.4290598291 , -2.45666503906 , 5.38635253906 , 1.18255615234 
2018/05/08 00:13:55.675398 , -0.575927734375 , -0.46826171875 , 0.701904296875 , 54.8776556777 , 16.3433455433 , -51.4290598291 , -2.45666503906 , 5.38635253906 , 1.18255615234 
2018/05/08 00:13:55.968026 , -0.521728515625 , -0.428955078125 , 0.706787109375 , 55.7772893773 , 17.8427350427 , -50.8293040293 , -5.11932373047 , 4.79888916016 , 1.54876708984 
2018/05/08 00:13:56.260437 , -0.521728515625 , -0.428955078125 , 0.706787109375 , 55.7772893773 , 17.8427350427 , -50.8293040293 , -5.11932373047 , 4.79888916016 , 1.54876708984 
2018/05/08 00:13:56.553020 , -0.521728515625 , -0.428955078125 , 0.706787109375 , 55.7772893773 , 17.8427350427 , -50.8293040293 , -5.11932373047 , 4.79888916016 , 1.54876708984 
2018/05/08 00:13:56.845724 , -0.521728515625 , -0.428955078125 , 0.706787109375 , 54.7277167277 , 15.7435897436 , -51.8788766789 , -3.48663330078 , 5.70678710938 , -1.59454345703 
2018/05/08 00:13:57.138094 , -0.5458984375 , -0.482666015625 , 0.723388671875 , 54.7277167277 , 15.7435897436 , -51.8788766789 , -3.48663330078 , 5.70678710938 , -1.59454345703 
2018/05/08 00:13:57.430455 , -0.5458984375 , -0.482666015625 , 0.723388671875 , 54.7277167277 , 15.7435897436 , -51.8788766789 , -3.48663330078 , 5.70678710938 , -1.59454345703 
2018/05/08 00:13:57.723064 , -0.5458984375 , -0.482666015625 , 0.723388671875 , 54.7277167277 , 15.7435897436 , -51.8788766789 , -3.00598144531 , 2.57873535156 , -1.10626220703 
2018/05/08 00:13:58.015463 , -0.533203125 , -0.509521484375 , 0.675537109375 , 54.5777777778 , 16.6432234432 , -50.3794871795 , -3.00598144531 , 2.57873535156 , -1.10626220703 
2018/05/08 00:13:58.308084 , -0.533203125 , -0.509521484375 , 0.675537109375 , 54.5777777778 , 16.6432234432 , -50.3794871795 , -3.00598144531 , 2.57873535156 , -1.10626220703 
2018/05/08 00:13:58.600645 , -0.533203125 , -0.509521484375 , 0.675537109375 , 54.5777777778 , 16.6432234432 , -50.3794871795 , -3.00598144531 , 2.57873535156 , -1.10626220703 
2018/05/08 00:13:58.893142 , -0.603515625 , -0.482421875 , 0.668212890625 , 55.7772893773 , 18.2925518926 , -51.2791208791 , -4.57000732422 , 4.64630126953 , 0.411987304688 
2018/05/08 00:13:59.185835 , -0.603515625 , -0.482421875 , 0.668212890625 , 55.7772893773 , 18.2925518926 , -51.2791208791 , -4.57000732422 , 4.64630126953 , 0.411987304688 
2018/05/08 00:13:59.478305 , -0.603515625 , -0.482421875 , 0.668212890625 , 55.7772893773 , 18.2925518926 , -51.2791208791 , -4.57000732422 , 4.64630126953 , 0.411987304688 
2018/05/08 00:13:59.770758 , -0.603515625 , -0.482421875 , 0.668212890625 , 55.7772893773 , 18.2925518926 , -51.2791208791 , -5.46264648438 , 3.99017333984 , -0.0457763671875 
2018/05/08 00:14:00.063283 , -0.493408203125 , -0.451904296875 , 0.677490234375 , 55.7772893773 , 17.242979243 , -52.1787545788 , -5.46264648438 , 3.99017333984 , -0.0457763671875 
